DATE        TIME      a         b         c         
04-Jun-2018 00:01:21   -0.00045 17.8531     8.93734 
04-Jun-2018 12:01:34  -0.000443 17.8446     9.27305 
05-Jun-2018 00:01:48  -0.000486 17.9247     8.25005 
05-Jun-2018 12:02:01  -0.000531 18.0282     10.4332 
06-Jun-2018 00:02:15  -0.000548 18.0586     11.1771 
06-Jun-2018 12:02:28  -0.000544 18.0609     11.8157 
07-Jun-2018 00:02:42  -0.000555 18.0893     14.3777 
07-Jun-2018 12:02:55  -0.000556 18.0893     14.3766 
08-Jun-2018 00:03:09  -0.000544 18.0772     15.5765 
08-Jun-2018 12:03:22  -0.000539 18.0753     15.2737 
12-Jun-2018 12:05:11  -0.000689 18.4271     9.98872 
13-Jun-2018 00:05:24  -0.000703 18.4465     9.29309 
13-Jun-2018 12:05:38  -0.000704 18.4435     9.90726 
14-Jun-2018 00:05:51  -0.000734 18.4667     9.65054 
14-Jun-2018 12:06:05  -0.000742 18.4717     9.34293 
15-Jun-2018 00:06:18  -0.000745 18.4763     9.04373 
15-Jun-2018 12:06:32  -0.000789  18.516     8.52974 
16-Jun-2018 00:06:45  -0.000759 18.4371     11.0033 
16-Jun-2018 12:06:59  -0.000759 18.4553     10.1569 
17-Jun-2018 00:07:12  -0.000742 18.4375     10.0984 
17-Jun-2018 12:07:26  -0.000718 18.4063     10.9274 
18-Jun-2018 00:07:40  -0.000699 18.3758     11.7451 
18-Jun-2018 12:07:53  -0.000694 18.3263     13.2623 
19-Jun-2018 00:08:07  -0.000691 18.3527     11.8382 
19-Jun-2018 12:08:20  -0.000662 18.2821     14.0889 
20-Jun-2018 00:08:34  -0.000632 18.2569     15.2776 
20-Jun-2018 12:08:47  -0.000638 18.2476     15.5339 
21-Jun-2018 00:09:01  -0.000649  18.274     14.9991 
21-Jun-2018 12:09:14  -0.000655 18.2985     14.1638 
22-Jun-2018 00:09:28  -0.000652 18.3055      14.498 
22-Jun-2018 12:09:41  -0.000672 18.3313     13.6347 
23-Jun-2018 00:09:55  -0.000695 18.3195     14.1497 
23-Jun-2018 12:10:08  -0.000712 18.3325     14.1589 
24-Jun-2018 00:10:22  -0.000712 18.3241     14.7363 
24-Jun-2018 12:10:35  -0.000682 18.2802     15.5539 
25-Jun-2018 00:10:49  -0.000721 18.3418     13.5636 
25-Jun-2018 12:11:03  -0.000721 18.3433     13.8725 
26-Jun-2018 00:11:16  -0.000682 18.3098     14.7512 
26-Jun-2018 12:11:30  -0.000655 18.2735     15.8925 
27-Jun-2018 00:11:43  -0.000655 18.2818      15.317 
27-Jun-2018 12:11:57  -0.000704 18.3558     13.3466 
28-Jun-2018 00:12:10  -0.000683 18.2955     14.0898 
28-Jun-2018 12:12:24  -0.000677 18.2866     14.6791 
29-Jun-2018 00:12:37  -0.000655 18.2633     14.9466 
29-Jun-2018 12:12:51  -0.000677 18.3132     13.2539 
30-Jun-2018 00:13:04  -0.000675 18.3229     12.9891 
30-Jun-2018 12:13:18  -0.000663 18.2993     14.1477 
01-Jul-2018 00:13:31  -0.000666 18.3167     14.2036 
01-Jul-2018 12:13:45  -0.000698  18.362     12.4687 
02-Jul-2018 00:13:58  -0.000734 18.4265     9.86205 
02-Jul-2018 12:14:12  -0.000729 18.4062     10.5856 
03-Jul-2018 00:14:25  -0.000748  18.438     10.7943 
03-Jul-2018 12:14:39  -0.000776 18.5062     9.13894 
04-Jul-2018 00:14:53  -0.000776 18.5116     9.17069 
04-Jul-2018 12:15:06  -0.000758 18.4982     10.4024 
05-Jul-2018 00:15:20  -0.000822 18.6097     10.9674 
05-Jul-2018 12:15:33  -0.000832 18.6387      11.136 
06-Jul-2018 00:15:47  -0.000807 18.6142     12.1419 
06-Jul-2018 12:16:00  -0.000802 18.5906     13.3172 
07-Jul-2018 00:16:14  -0.000807 18.5881     13.2078 
07-Jul-2018 12:16:27  -0.000806 18.5898     12.2502 
08-Jul-2018 00:16:41  -0.000781 18.5281     12.9772 
08-Jul-2018 12:16:54  -0.000791 18.5335     12.6583 
09-Jul-2018 00:17:08  -0.000835 18.5783     11.4833 
09-Jul-2018 12:17:21   -0.00085 18.6033     10.2733 
10-Jul-2018 00:17:35  -0.000849 18.5929     10.5509 
10-Jul-2018 12:17:48  -0.000814 18.5264     10.3066 
11-Jul-2018 00:18:02  -0.000818 18.5538     9.29442 
11-Jul-2018 12:18:16  -0.000806 18.5494     8.69715 
12-Jul-2018 00:18:29  -0.000774 18.5093     8.34551 
12-Jul-2018 12:18:43  -0.000757 18.4829     9.05163 
13-Jul-2018 00:18:56  -0.000767 18.5052     7.56583 
13-Jul-2018 12:19:10  -0.000821 18.5977     6.68766 
14-Jul-2018 00:19:23  -0.000814 18.5749     7.83512 
14-Jul-2018 12:19:37  -0.000805 18.5665     7.52391 
15-Jul-2018 00:19:50  -0.000822 18.5961     7.26688 
15-Jul-2018 12:20:04  -0.000837 18.6136     6.97897 
16-Jul-2018 00:20:17  -0.000837 18.6238     6.70193 
16-Jul-2018 12:20:31  -0.000818 18.5972     7.58667 
17-Jul-2018 00:20:44  -0.000814 18.6114     7.02246 
17-Jul-2018 12:20:58  -0.000831 18.6238     7.94114 
18-Jul-2018 00:21:11  -0.000764 18.5649     9.12375 
18-Jul-2018 12:21:25  -0.000752 18.5867     8.00174 
19-Jul-2018 00:21:38  -0.000782 18.6175     7.72101 
19-Jul-2018 12:21:52  -0.000882 18.7899     6.16352 
